date,close,volume
2015-01-01,322.68,96555164.0
2015-01-02,315.32,148240078.0
2015-01-03,323.8,272623201.0
2015-01-04,326.4,113893780.0
2015-01-05,317.04,96986872.0
2015-01-06,312.8,222497098.0
2015-01-07,308.78,140270001.0
2015-01-08,320.3,235774602.0
2015-01-09,311.76,244350457.0
2015-01-10,322.59,91555245.0
2015-01-11,322.15,277703456.0
2015-01-12,312.96,129711143.0
2015-01-13,324.28,180959642.0
2015-01-14,307.56,113129162.0
2015-01-15,321.47,252015211.0
2015-01-16,320.34,285400426.0
2015-01-17,314.86,347731898.0
2015-01-18,311.53,234406597.0
2015-01-19,319.66,255271392.0
2015-01-20,319.9,244322713.0
2015-01-21,316.58,101193617.0
2015-01-22,307.28,163739817.0
2015-01-23,304.16,148099167.0
2015-01-24,304.21,159931641.0
2015-01-25,313.84,185526833.0
2015-01-26,308.53,143025245.0
2015-01-27,306.25,333373929.0
2015-01-28,313.0,250106804.0
2015-01-29,303.77,277764274.0
2015-01-30,303.28,186196984.0
2015-01-31,318.26,260459730.0
2015-02-01,309.88,268788126.0
2015-02-02,314.81,295242244.0
2015-02-03,303.1,95432209.0
2015-02-04,304.35,157292086.0
2015-02-05,302.08,332722610.0
2015-02-06,313.99,172238412.0
2015-02-07,309.56,192385314.0
2015-02-08,313.97,210553229.0
2015-02-09,301.68,151100050.0
2015-02-10,306.77,156603308.0
2015-02-11,306.85,323493311.0
2015-02-12,303.11,144325307.0
2015-02-13,313.69,223922314.0
2015-02-14,296.78,98311955.0
2015-02-15,296.78,248275461.0
2015-02-16,308.87,199163821.0
2015-02-17,295.26,184277784.0
2015-02-18,311.87,228460661.0
2015-02-19,311.06,315906035.0
2015-02-20,293.3,270778558.0
2015-02-21,305.11,228027528.0
2015-02-22,297.25,251967069.0
2015-02-23,294.11,197587571.0
2015-02-24,299.94,334379491.0
2015-02-25,307.21,156884571.0
2015-02-26,300.1,133039722.0
2015-02-27,307.17,316483314.0
2015-02-28,295.78,250823739.0
2015-03-01,301.01,126524482.0
2015-03-02,303.42,228026083.0
2015-03-03,303.36,225645820.0
2015-03-04,289.1,167688751.0
2015-03-05,289.11,321979202.0
2015-03-06,304.1,304738972.0
2015-03-07,293.58,100557771.0
2015-03-08,303.39,334503844.0
2015-03-09,288.96,208912765.0
2015-03-10,288.34,278632799.0
2015-03-11,300.36,120032062.0
2015-03-12,294.87,227475455.0
2015-03-13,290.81,308432420.0
2015-03-14,293.27,140032272.0
2015-03-15,294.99,273926540.0
2015-03-16,288.68,164397986.0
2015-03-17,302.34,256440959.0
2015-03-18,292.19,218177198.0
2015-03-19,286.28,141627705.0
2015-03-20,289.77,235330564.0
2015-03-21,287.54,140798868.0
2015-03-22,284.42,243976838.0
2015-03-23,286.86,314711664.0
2015-03-24,297.56,104583119.0
2015-03-25,286.36,254420632.0
2015-03-26,285.62,118043193.0
2015-03-27,297.85,234122301.0
2015-03-28,289.46,285305514.0
2015-03-29,294.95,134921829.0
2015-03-30,282.28,192637428.0
2015-03-31,287.62,203602014.0
2015-04-01,292.58,258291470.0
2015-04-02,296.65,111544796.0
2015-04-03,286.27,170708854.0
2015-04-04,293.86,149649879.0
2015-04-05,281.95,196948768.0
2015-04-06,285.61,155112252.0
2015-04-07,282.33,316711801.0
2015-04-08,285.32,302700522.0
2015-04-09,286.84,97532892.0
2015-04-10,294.2,300858852.0
2015-04-11,293.35,323630091.0
2015-04-12,290.95,127839116.0
2015-04-13,284.42,138395364.0
2015-04-14,282.65,98847687.0
2015-04-15,281.95,332126494.0
2015-04-16,279.69,280310494.0
2015-04-17,282.6,190717917.0
2015-04-18,290.8,339887436.0
2015-04-19,283.66,265703431.0
2015-04-20,276.54,157158441.0
2015-04-21,290.0,233091433.0
2015-04-22,282.45,272592710.0
2015-04-23,273.94,227787499.0
2015-04-24,281.14,298303605.0
2015-04-25,275.0,321906886.0
2015-04-26,273.38,128759127.0
2015-04-27,281.73,253921931.0
2015-04-28,275.36,112811168.0
2015-04-29,286.03,147023901.0
2015-04-30,280.75,239449248.0
2015-05-01,277.49,229134496.0
2015-05-02,278.91,317653598.0
2015-05-03,273.27,260243756.0
2015-05-04,273.53,180881044.0
2015-05-05,280.43,159086321.0
2015-05-06,274.19,269543288.0
2015-05-07,269.83,195053166.0
